e1,e2,value
The University of Sydney,The University of Sydney,1
King Fahad University of Petroleum and Minerals,National ICT Australia,1
King Fahad University of Petroleum and Minerals,The University of Sydney,1
King Fahad University of Petroleum and Minerals,University of New South Wales,1
King Fahad University of Petroleum and Minerals,ICT Center,1
National ICT Australia,The University of Sydney,1
National ICT Australia,University of New South Wales,1
National ICT Australia,ICT Center,1
The University of Sydney,University of New South Wales,1
The University of Sydney,ICT Center,1
University of New South Wales,ICT Center,1
The University of Texas at Dallas,Hong Kong University of Science and Technology,1
The University of Texas at Dallas,University of Technology Sydney,1
Hong Kong University of Science and Technology,University of Technology Sydney,1
University of Konstanz,University of Konstanz,1
Beihang University,Beihang University,3
Beihang University,Institute of Software Chinese Academy of Sciences,2
Beihang University,Shangdong Institute of Commerce and Technology,1
Institute of Software Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,2
Institute of Software Chinese Academy of Sciences,Shangdong Institute of Commerce and Technology,1
Tianjin University,Tianjin University,2
Tianjin University,Western Sydney University,1
Tianjin University,University of Technology Sydney,2
Western Sydney University,University of Technology Sydney,2
Universitat Pompeu Fabra,Universitat Pompeu Fabra,1
Nanjing University,Nanjing University,1
Nanjing University,Hohai University,1
Multimedia University,Multimedia University,1
University of Macau,University of Macau,2
Ocean University of China,Ocean University of China,1
German Research Center for Artificial Intelligence,German Research Center for Artificial Intelligence,1
Ecole Nationale Supérieure d’Architecture de Strasbourg,Ecole Nationale Supérieure d’Architecture de Strasbourg,1
University Sains Malaysia,University Sains Malaysia,1
Claremont Graduate University,Claremont Graduate University,1
Tsinghua University,Tsinghua University,1
The University of Newcastle,The University of Newcastle,1
The University of Newcastle,Swinburne University of Technology,1
The University of Newcastle,Chinese Academy of Sciences,1
Swinburne University of Technology,Chinese Academy of Sciences,1
Zhejiang University,Zhejiang University,1
Civil Aviation University of China,Civil Aviation University of China,1
Civil Aviation University of China,Tianjin University,1
peking university,peking university,1
shandong university,shandong university,3
beijing normal university,beijing normal university,1
CSIRO ICT Centre,university of technology,1
dalhousie university,dalhousie university,1
KDU College Penang Campus,KDU College Penang Campus,1
Chinese Academy of Sciences,Chinese Academy of Sciences,5
western sydney university,western sydney university,1
western sydney university,university of technology,1
CSIRO -- ICT Centre,CSIRO -- ICT Centre,1
the penn state university park,the penn state university park,1
shimane university,shimane university,2
university of texas,university of texas,3
pennsylvania state university,pennsylvania state university,2
charlotte visualization center,Palo Alto Research Center,1
charlotte visualization center,university of new hampshire,1
charlotte visualization center,charlotte visualization center,1
Palo Alto Research Center,university of new hampshire,1
university of macau,university of macau,1
University of Tsukuba,University of Tsukuba,1
Chinese Academy of Sciences,beijing jiaotong university,1
Chinese Academy of Sciences,Chinese Academy of Sciences Beijing,1
beijing jiaotong university,Chinese Academy of Sciences Beijing,1
ochanomizu university,ochanomizu university,1
shimane university,Yamamoto Clinic,1
Yamamoto Clinic,Yamamoto Clinic,1
Chinese Academy of Sciences,Microsoft Research Asia,1
Chinese Academy of Sciences,Pennsylvania State University,1
Microsoft Research Asia,Pennsylvania State University,1
dalhousie university halifax,dalhousie university halifax,1
tianjin university,tianjin university,1
tianjin university,university of technology sydney,1
hong kong university of science and technology,hong kong university of science and technology,1
southern methodist university,southern methodist university,1
the penn state university,sun yatsen university,1
the penn state university,the penn state university,1
sun yatsen university,sun yatsen university,1
